Item Name,Quantity,Box #,Location,Category,Condition,Date Added,Last Checked,Notes,Value ($),Image Link,Checked Out By,Return Date
monopoly,1,8,Rutgers storage,game,,,,,,,,
potato sacks,bag,8,Rutgers storage,game,,,,,,,,
copper wire,1 roll,4,Rutgers storage,tools,,,,,,,,
ring toss,bag,8,Rutgers storage,game,,,,,,,,
easel stands,1,5,Rutgers storage,decor,,,,,,,,
prayer mats,15,7,Rutgers storage,decor,,,,,,,,
gold circle arch stand,1,5,Rutgers storage,decor,,,,,,,,
plastic drop cloth/tarp,2 rolls,2,Rutgers storage,utensils,,,,,,,,
satin table runners (gold),5,7,Rutgers storage,decor,,,,,,,,
satin table runners (purple),5,7,Rutgers storage,decor,,,,,,,,
satin table runners (teal),7,7,Rutgers storage,decor,,,,,,,,
crinkle table runners (white),3,7,Rutgers storage,decor,,,,,,,,
crinkle table runners (pink),2,7,Rutgers storage,decor,,,,,,,,
lavender drape,1,7,Rutgers storage,decor,,,,,,,,
navy table runner,1,7,Rutgers storage,decor,,,,,,,,
popcorn bags,box,2,Rutgers storage,,,,,,,,,
treasure chest decor,bag,4,Rutgers storage,decor,,,,,,,,
wristbands,bunch,drawer,Rutgers storage,,,,,,,,,
treat bags,bunch,drawer,Rutgers storage,,,,,,,,,
green tickets,1 roll,drawer,Rutgers storage,,,,,,,,,
name tags w/ lanyards,bag,drawer,Rutgers storage,,,,,,,,,
dry erase boards w/ markers,15,drawer,Rutgers storage,,,,,,,,,
sticker labels,sheets,drawer,Rutgers storage,,,,,,,,,
pot hooks,8,drawer,Rutgers storage,,,,,,,,,
construction paper,1,drawer,Rutgers storage,,,,,,,,,
copy paper,1,drawer,Rutgers storage,,,,,,,,,
streamers,1,drawer,Rutgers storage,,,,,,,,,
scissors,9,drawer,Rutgers storage,,,,,,,,,
ruler,3,drawer,Rutgers storage,,,,,,,,,
 3 hole puncher,2,drawer,Rutgers storage,,,,,,,,,
1 hole puncher,1,drawer,Rutgers storage,,,,,,,,,
mini stapler,1,drawer,Rutgers storage,,,,,,,,,
thank you cards,,drawer,Rutgers storage,,,,,,,,,
elmers liquid glue,1,drawer,Rutgers storage,,,,,,,,,
assorted beads,,craft drawer,Rutgers storage,,,,,,,,,
coaster tiles,,craft drawer,Rutgers storage,,,,,,,,,
thumb tacks,,craft drawer,Rutgers storage,,,,,,,,,
jewelry pliers,1,craft drawer,Rutgers storage,,,,,,,,,
mosaic tiles,,craft drawer,Rutgers storage,,,,,,,,,
string,,drawer,Rutgers storage,,,,,,,,,
circle mirrors,17,,Rutgers storage,,,,,,,,,
planet banner,1,4,Rutgers storage,,,,,,,,,
assorted stickers,sheets,drawer,Rutgers storage,,,,,,,,,
tatreez supplies,,string drawer,Rutgers storage,,,,,,,,,
ribbon,,string drawer,Rutgers storage,,,,,,,,,
fishing wire/clear string,,string drawer,Rutgers storage,,,,,,,,,
infltable island palm trees,6,luau box,Rutgers storage,,,,,,,,,
lei's,6,luau box,Rutgers storage,,,,,,,,,
team sunglasses,,4,Rutgers storage,,,,,,,,,
lint rollers,3,drawer,Rutgers storage,,,,,,,,,
envelopes,box,drawer,Rutgers storage,,,,,,,,,
Tazkiyah Sign ,1,4,Rutgers storage,,,,,,,,,
Backdrop ,1,Black Bag,Rutgers storage,,,,,,,,,
Wicker Runner,1,5,Rutgers storage,,,,,,,,,
Knives,many ,2,Rutgers storage,,,,,,,,,
Blue Backdrop Panels,1,7,Rutgers storage,,,,,,,,,
Parchment Paper,1,4,Rutgers storage,,,,,,,,,
Serving Spoons,,2,Rutgers storage,,,,,,,,,
Screwdriver,,Drawer,Rutgers storage,,,,,,,,,
